# 本 snapshot 產生於 commit 06167f7（133 tests）
# 此為修復後現況基準，非跨版本永恆正確性證明。
#
# 產生時之已知問題狀態：
#   [已修] 1. 旬空、月破顯示佔位符（L2 未接通）
#   [已修] 2. 逐爻推導全部「未有對應模板」
#   [已修] 3. 多軌頁只顯示三本、標「三家共識」
#   [部分修復] 4. 原文摺疊區主流程已接通；C1-R2／增刪卜易仍有一格原文 fallback 缺口
#   [已修] 5. 卦名不完整（「水雷」缺「屯」）—— L1 運算層
#   [未修] 6. 伏神 dump JSON、內部 TODO 標記洩漏
#   [已修] 7. 用神選擇疑無實際作用（L3）
#
# 後續修復 4、6 後須重新產生 snapshot 並更新本檔頭。
case_index,hexagram_id,hexagram_name,moving_pattern,moving_positions,month_branch,day_ganzhi,xunkong,month_break_branch,seasonal_states,empty_line_count,month_break_line_count,template_missing_lines,template_missing_contexts,c1_hits,c15_hits,failed_checks,placeholder_checks,exception_type,exception_message,result_class
56,1,乾為天,static,,子,己未,子|丑,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
57,1,乾為天,static,,子,庚申,子|丑,午,旺|相|囚|死|休|囚,1,1,,,2:旺相之爻遇沖,2:靜爻遇沖|4:靜爻遇沖,,,,,normal
58,1,乾為天,static,,子,辛酉,子|丑,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
59,1,乾為天,static,,子,壬戌,子|丑,午,旺|相|囚|死|休|囚,1,1,,,3:休囚之爻遇日沖,3:靜爻遇沖|4:靜爻遇沖,,,,,normal
60,1,乾為天,static,,子,癸亥,子|丑,午,旺|相|囚|死|休|囚,1,1,,,,4:靜爻遇沖,,,,,normal
61,1,乾為天,static,,丑,甲子,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,4:休囚之爻遇日沖,4:靜爻遇沖,,,,,normal
62,1,乾為天,static,,丑,乙丑,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
63,1,乾為天,static,,丑,丙寅,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,5:旺相之爻遇沖,5:靜爻遇沖,,,,,normal
64,1,乾為天,static,,丑,丁卯,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
65,1,乾為天,static,,丑,戊辰,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,6:旺相之爻遇沖,6:空爻遇沖,,,,,normal
66,1,乾為天,static,,丑,己巳,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
67,1,乾為天,static,,丑,庚午,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,,1:靜爻遇沖,,,,,normal
68,1,乾為天,static,,丑,辛未,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
69,1,乾為天,static,,丑,壬申,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,2:休囚之爻遇日沖,2:靜爻遇沖,,,,,normal
70,1,乾為天,static,,丑,癸酉,戌|亥,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
71,1,乾為天,static,,丑,甲戌,申|酉,未,死|囚|旺|休|相|旺,1,0,,,3:旺相之爻遇沖,3:靜爻遇沖,,,,,normal
72,1,乾為天,static,,丑,乙亥,申|酉,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
73,1,乾為天,static,,丑,丙子,申|酉,未,死|囚|旺|休|相|旺,1,0,,,4:休囚之爻遇日沖,4:靜爻遇沖,,,,,normal
74,1,乾為天,static,,丑,丁丑,申|酉,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
75,1,乾為天,static,,丑,戊寅,申|酉,未,死|囚|旺|休|相|旺,1,0,,,5:旺相之爻遇沖,5:空爻遇沖,,,,,normal
76,1,乾為天,static,,丑,己卯,申|酉,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
77,1,乾為天,static,,丑,庚辰,申|酉,未,死|囚|旺|休|相|旺,1,0,,,6:旺相之爻遇沖,6:靜爻遇沖,,,,,normal
78,1,乾為天,static,,丑,辛巳,申|酉,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
79,1,乾為天,static,,丑,壬午,申|酉,未,死|囚|旺|休|相|旺,1,0,,,,1:靜爻遇沖,,,,,normal
80,1,乾為天,static,,丑,癸未,申|酉,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
81,1,乾為天,static,,丑,甲申,午|未,未,死|囚|旺|休|相|旺,1,0,,,2:休囚之爻遇日沖,2:靜爻遇沖,,,,,normal
82,1,乾為天,static,,丑,乙酉,午|未,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
83,1,乾為天,static,,丑,丙戌,午|未,未,死|囚|旺|休|相|旺,1,0,,,3:旺相之爻遇沖,3:靜爻遇沖,,,,,normal
84,1,乾為天,static,,丑,丁亥,午|未,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
85,1,乾為天,static,,丑,戊子,午|未,未,死|囚|旺|休|相|旺,1,0,,,4:休囚之爻遇日沖,4:空爻遇沖,,,,,normal
86,1,乾為天,static,,丑,己丑,午|未,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
87,1,乾為天,static,,丑,庚寅,午|未,未,死|囚|旺|休|相|旺,1,0,,,5:旺相之爻遇沖,5:靜爻遇沖,,,,,normal
88,1,乾為天,static,,丑,辛卯,午|未,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
89,1,乾為天,static,,丑,壬辰,午|未,未,死|囚|旺|休|相|旺,1,0,,,6:旺相之爻遇沖,6:靜爻遇沖,,,,,normal
90,1,乾為天,static,,丑,癸巳,午|未,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
91,1,乾為天,static,,丑,甲午,辰|巳,未,死|囚|旺|休|相|旺,1,0,,,,1:靜爻遇沖,,,,,normal
92,1,乾為天,static,,丑,乙未,辰|巳,未,死|囚|旺|休|相|旺,1,0,,,,,,,,,normal
93,1,乾為天,static,,丑,丙申,辰|巳,未,死|囚|旺|休|相|旺,1,0,,,2:休囚之爻遇日沖,2:靜爻遇沖,,,,,normal
